Model Type,Model Name,MAE,MSE,R²
"Random Forest With Categories (Brand, Model, Engine Type)",random_forest_model.pkl,1540.352455408728,6391242.078289777,0.937993484819706
Random Forest Without Categories,random_forest_model_no_categories.pkl,2318.499792458049,14117852.283048756,0.8630315029256009
Linear Regression,linear_regression_model.pkl,3231.0824330099344,24064852.50610324,0.7665277540808603
Gradient Boosting,gradient_boosting_model.pkl,1514.6857271620472,5662107.45185148,0.9450673988928876
Neural Network,neural_network_model.pkl,1511.517583671203,6261612.413531625,0.9392511248588562
Support Vector Regression,support_vector_regression_model.pkl,3859.661556894437,59155223.29908794,0.42608819904532713
K-Nearest Neighbors,k-nearest_neighbors_model.pkl,1792.6557859138363,9455290.499632405,0.9082667176868334
Elastic Net,elastic_net_model.pkl,3111.413393840445,25167532.331325915,0.7558297813731876
XGBoost,xgboost_model.pkl,1520.927929599326,5723230.279397753,0.9444743990898132
LightGBM,lightgbm_model.pkl,1552.3584167308884,6373872.902705736,0.9381619969862502
